source_address;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23
61.177.172.19;18;19;22;24;18;20;25;18;18;17;19;18;23;21;17;16;10;25;15;18;15;17;11;22
95.31.175.6;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
79.142.197.215;9;0;0;5;0;0;0;0;22;8;0;4;0;0;0;0;0;0;0;0;0;0;0;0
59.63.199.198;4;3;3;3;2;3;3;2;2;2;3;2;2;2;2;3;2;1;2;2;2;3;2;2
68.129.232.46;58;65;80;62;58;58;63;57;61;59;52;47;44;54;63;68;70;60;47;48;53;50;51;50
188.115.151.143;32;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
103.89.169.19;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
51.15.147.90;72;64;76;76;69;76;68;80;72;73;72;76;76;69;72;80;88;77;56;72;72;76;80;72
176.59.3.54;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
109.200.239.41;4;0;0;0;0;0;0;0;0;0;0;0;0;0;36;0;0;0;0;6;0;0;0;0
93.114.90.154;4;8;6;0;0;0;0;0;0;0;0;0;0;3;11;0;0;7;40;61;0;0;0;0
185.13.36.107;4;4;4;4;4;3;4;4;4;4;3;3;4;4;4;4;4;4;2;2;2;2;2;2
218.61.28.250;35;51;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
94.102.61.48;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0
20.172.184.218;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
85.238.102.57;37;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
91.237.40.54;28;14;2;0;0;0;0;0;11;0;0;0;0;0;1;35;0;0;0;0;0;0;0;0
185.9.38.134;67;0;0;64;0;0;64;0;0;64;0;0;68;0;0;60;6;0;52;4;0;60;0;0
117.86.124.251;40;65;45;35;35;49;40;36;5;40;45;30;45;40;45;45;30;46;48;35;30;50;25;20
178.128.206.48;6;4;3;5;4;5;7;4;3;7;6;5;6;5;7;4;6;4;2;4;3;3;2;5
41.128.183.11;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
188.138.187.105;57;39;33;58;38;32;58;45;31;62;38;43;54;54;45;51;54;39;45;39;27;63;36;30
51.83.111.215;1;1;1;0;0;0;0;1;0;1;0;0;1;0;1;0;0;1;0;0;0;1;0;0
192.162.245.112;26;22;23;23;22;22;22;23;21;25;21;21;23;20;25;24;23;17;21;21;20;22;19;22
51.158.44.152;72;69;61;64;60;64;64;62;67;70;61;69;61;65;60;60;64;64;52;52;57;64;56;61
203.142.77.234;46;265;399;336;763;605;196;595;653;322;570;293;258;138;234;69;69;29;16;24;33;37;40;48
185.13.36.104;10;6;4;6;8;5;3;7;6;5;6;6;5;8;4;6;6;8;6;4;8;6;6;4
216.131.88.202;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
178.128.162.232;18;12;8;12;12;14;14;12;16;10;16;12;8;16;12;10;12;12;18;14;18;10;10;8
188.130.178.127;10;39;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
51.83.248.252;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
37.73.131.106;17;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
83.142.111.103;14;1;0;0;0;0;0;0;0;0;0;7;0;9;7;0;12;0;6;0;15;0;0;0
95.211.197.154;63;181;101;63;92;69;99;103;106;97;55;54;96;103;84;65;36;42;55;84;59;51;62;34
